State,All Races[16],White[16],Hispanic[16],Black[16],Asian[16],American Indianand Alaska Native[16],TotalLifeExpectancy,LifeExpectancyMale,LifeExpectancyFemale
United States,78.7,78.6,82,75,86.3,77.4,77.28,73.5,79.3
Alabama,75.4,76,79.1,72.9,80.2,78.7,73.2,70.1,76.4
Alaska,78.8,80,80.9,79,87.1,70.5,76.6,74.3,79.2
Arizona,79.9,80,81,76.8,87,71.8,76.3,73.4,79.5
Arkansas,75.9,76,79.2,72.8,80.6,78.4,73.8,71.1,76.6
California,81.6,80.7,83.6,76,87.6,75.7,79,76.2,82
Colorado,80.5,80.6,81,77.2,87.9,74.2,78.3,75.8,80.9
Connecticut,80.9,80.6,82.9,78,87.2,83.6,78.4,75.6,81.3
Delaware,78.4,78.5,81.3,75.2,85.7,83.1,76.7,73.9,79.5
District of Columbia,78.6,87.5,87.8,72.6,89.5,98.5,75.3,71.7,78.7
Florida,80,79.9,82.1,76.1,86.1,81.6,77.5,74.6,80.5
Georgia,77.8,78,81.3,75.5,85.2,80.8,75.6,72.8,78.3
Hawaii,82.3,81.3,87.9,80.9,83.7,81.9,80.7,77.6,83.8
Idaho,79.3,79.1,83.1,81.3,84.9,74.6,78.4,76.1,80.8
Illinois,79.3,79.1,82.9,73.9,85.3,83,76.8,73.8,79.8
Indiana,77,76.8,82,73.2,85.1,81.2,75,72.3,77.9
Iowa,79.4,79.3,81.8,74.8,86.6,80.1,77.5,74.9,80.1
Kansas,78.5,78.2,81.5,73.8,84.2,79.1,76.4,73.8,79.2
Kentucky,75.4,75.5,79.6,72.9,80.2,78.9,73.5,70.6,76.5
Louisiana,76.1,77.1,80.9,73.1,81.1,80.5,73.1,69.9,76.4
Maine,78.7,78.6,82.1,80.9,85.9,83.8,77.8,74.9,80.7
Maryland,79.1,80,81.9,75.3,87.3,83.7,76.8,73.8,79.7
Massachusetts,80.5,80.2,82.1,78.8,86.1,84.1,79,76.4,81.5
Michigan,78,78,80.9,73.5,86,79.8,76,73.4,78.8
Minnesota,80.9,81,83.4,79.3,86.8,69.9,79.1,76.8,81.4
Mississippi,74.9,76,79.3,72.6,80.8,79.2,71.9,68.6,75.2
Missouri,77.3,77.5,81.9,73.6,84.6,81,75.1,72.1,78.1
Montana,78.8,79.3,82.1,81.9,86.1,69.5,76.8,74.2,79.6
Nebraska,79.6,79.6,82.1,73.9,86.3,71.1,77.7,75.2,80.3
Nevada,78.5,76.8,80.7,76.3,84.1,74.9,76.3,73.5,79.2
New Hampshire,79.5,79.3,83.5,80.8,87.6,84.4,79,76.5,81.5
New Jersey,80.4,80.2,82.7,74.8,87.2,84.1,77.5,74.6,80.5
New Mexico,78.1,78.7,78.6,74.8,81.8,73.9,74.5,71.3,77.8
New York,81.3,81,82.4,78,87.4,83.7,77.7,74.8,80.7
North Carolina,78,78.5,81.8,75,84.3,76.8,76.8,73.3,79
North Dakota,79.9,80.1,85.1,82.1,88.3,69.7,76.9,74.2,80
Ohio,76.9,77.1,81.1,73,85.9,80.6,75.3,72.5,78.1
Oklahoma,76,76.1,80.9,72.9,81,73.6,74.1,71.5,76.9
Oregon,79.8,79.5,84,77.5,86.4,76.9,78.8,76.3,81.3
Pennsylvania,78.3,78.3,82.2,73.2,86.9,82.2,76.8,74,79.6
Rhode Island,79.9,79.7,83.9,73.6,86.4,84,78.2,75.5,80.9
South Carolina,77,78,81.4,73.6,83.1,80.9,74.8,71.7,78
South Dakota,79.1,80,82.7,81.2,85.2,67.8,76.7,74.2,79.4
Tennessee,76,76.1,80.7,72.7,82.6,80.4,73.8,70.7,77
Texas,79.1,78.5,81.3,74.2,85.1,81.8,76.5,73.7,79.3
Utah,79.9,79.6,81.9,80.2,84.3,74.3,78.6,76.7,80.6
Vermont,79.7,79.6,83.1,81.1,87.2,85,78.8,76.1,81.4
Virginia,79.5,79.7,84.7,74.5,86,82.3,77.6,75.1,80.1
Washington,80.4,80.1,81.7,78,84.3,74,72.8,76.9,81.6
West Virginia,74.8,74.8,79.7,72.2,79.8,79,72.8,69.8,76.1
Wisconsin,79.4,79.4,83.3,73.4,85.8,71.7,77.7,75.2,80.3
Wyoming,79,79,81.8,80.2,85.2,72.9,76.3,74,78.9